GET,DDAS,Start Time,End Time,Duration,Run Type,LN2 fill?,H5 on TPC GPU,Field Cage Functional?,SCA Lower Limit,degrader angle,good data?,final beam settings?,source type,source location,Comments,
121,108,11/13/2025 9:06,11/13/2025 9:13,0:07:25,,,,,,,,no,,,degrader 45,"Get 122, 123 Junk"
120,107,11/13/2025 8:47,11/13/2025 9:05,0:17:56,,,,,,,,no,,,event biudd window of FRIBDAQ omcreased 15us,
118?,,,,,,,,,,,missing cobo 0,no,,,,
,106,11/13/2025 8:28,11/13/2025 8:45,0:16:29,,,,,,,,no,,,"PINs out, 200 ms full cycle, beam on 100 ms, live degrader adj attX1,focus",
117,105,11/13/2025 7:42,11/13/2025 8:28,0:45:38,,,,,,,,no,,,,Get 116 Junk
115,104,11/13/2025 7:04,11/13/2025 7:41,0:37:05,,,,,,,,no,,,Degrader 37,
"113, 114",103,11/13/2025 6:25,11/13/2025 7:01,0:36:44,,,,,,,run 113 is missing cobo 0?,no,,,Degrader angle 45 degree,
112,102,11/13/2025 6:00,11/13/2025 6:23,0:22:48,,,,,,,,no,,,"changed in opposite direction; PINs out, 200 ms full cycle, beam on 100 ms, degrader 30 deg, attX2,focus with beam focusing settings to that of opposite of last time",
111,101,11/13/2025 5:34,11/13/2025 5:58,0:24:00,,,,,,,,no,,,"changed beam focus; PINs out, 200 ms full cycle, beam on 100 ms, degrader 30 deg, attX2, focus tried different beam focus settings",
106-110,100,,,,,,,,,,,no,,,"PINs out, 200 ms full cycle, beam on 100 ms, degrader 30 deg, attX2",
,99,,,,,,,,,,,no,,,,
,98,,,,,,,,,,,no,,,,
,97,,,,,,,,,,,no,,,,
,96,,,,,,,,,,,no,,,,
,95,,,,,,,,,,,no,,,,
,94,Nov 13 2:36:55,Nov 13 3:07:12,0:30:17,,,,,,,,no,,,"Beam to FDSi, transmission and PID",
,93,,,,,,,,,,,no,,,"Kei tuning at viewer, we are checking rates at FDSi diagnostic detectors",
,92,,,,,,,,,,,,,,,
,91,,,,,,,,,,,,,,,
,90,,,,,,,,,,,,,,,
,89,,,,,,,,,,,,,,,
,88,,,,,,,,,,,,,,,
,87,,,,,,,,,,,,,,,
,86,,,,,,,,,,,,,,,
