fit_window,peak energy,from decay of,known peak energy (keV),known peak energy uncertainty(keV),use for calibration?,notes,gate,bg_gate,coincidence_hist,coincidences,,,,
1750-1800,1757,?,,,,,,,,,,,,
,1764,214Bi?,,,,,,,,,,,,
,1774,?,,,,Bi xrays?,,,,,,,,
,1780,60Ga?,,,,2021Or01,,,,,,,,
,1791,60Cu,1791.6,0.3,yes,1972Va19,,,,,,,,
,1792,?,,,,1791 keV peak didn't fit well when fit as a single peak,,,,,,,,
1800-1815,1809,58Cu+prompt gamma?,,,,"1972Jo01. Much weaker in beam off spectrum. Fits well as a single peak when beam is off, but not hen on",,,,,,,,
1815-1843,1826,?,,,,,,,,,,,,
,1832,?,,,,,,,,,,,,
,1838,?,,,,,,,,,,,,
1843-1852,1847,214Bi?,,,,,,,,,,,,
1852-1868,1861,60Cu,1861.6,0.3,yes,1972Va19,,,,,,,,
1868-1910,1873,?,,,,,,,,,,,,
,1879,?,,,,,,,,,,,,
,1890,?,,,,hint of a peak,,,,,,,,
,1896,?,,,,,,,,,,,,
1910-1925,1919,60Cu,1919.7,0.4,yes,1972Va19,,,,,,,,
1928-1943,1936,60Cu,1936.9,0.3,yes,1972Va19,,,,,,,,
1943-1960,1950,59Cu?,1949.9,0.14,yes,"1973Va03+1977Se02, peak looks a bit big for previously assigned branch",,,,,,,,
1962-1980,1974,?,,,,peak only in single crystals. Escape peak?,,,,,,,,
1980-1994,1988,?,,,,,,,,,,,,
1996-2020,2007,60Ga?,,,,"OShea2025. In coincidence with 1003. half life (s)=0.0279417 -0.0117726/+0.0456954 s (fit_decay_curve((2006,2009), (0,0.095), (2069, 2095))), which is consistent with 60Ga.",,,"h2007 = degai.get_bg_subtracted_projection(coincidence_hist, (2006, 2009), (2018, 2038))","511,1003,1028",,,,
,2012,?,,,,,,,,,,,,
2022-2039,2033,?,,,,,,,,,,,,
2039-2055,2047,60Ga,,,,2021Or01,,,,,,,,
2055-2068,2061,60Cu,2061.0,0.3,yes,1972Va19,,,,,,,,
2068-2085,2077,58Cu,,,"no, small peak",1972Jo01,,,,,,,,
2085-2097,2092,60Ga?,,,,2021Or01,,,,,,,,
2097-2115,2103,?,,,,,,,,,,,,
2110-2130,2118,?,,,,,,,,,,,,
2130-2152,2139,58Cu,,,,1972Jo01,,,,,,,,
,2146,58Cu,,,,"1972Jo01, not sure of statistical signifigance",,,,,,,,
2152-2165,2159,60Cu,2158.9,0.2,yes,1972Va19,,,,,,,,
2165-2180,2171,?,,,,odd peak shape,,,,,,,,
2190-2230,2204,214Bi?,,,,,,,,,,,,
,2212,,,,,shoulder on 2204 peak,,,,,,,,
,2223,2*H?,,,,,,,,,,,,
2230-2252,2240,?,,,,jump in background?,,,,,,,,
2252-2278,2263,60Cu,,,,"1972Va19, not clearly visible, but should be included in fit to 2266 peak",,,,,,,,
,2266,?,,,,,,,,,,,,
2278-2305,2293,60Ga,2293.0,0.1,yes,"2001Ma96, 1003 coincidence",,,,"1004,1554,2047,2557",,,,
2305-2350,2318,?,,,,,,,,,,,,
,2324,?,,,,,,,,,,,,
,2333,60Ga?,,,,2021Or01,,,,,,,,
2350-2380,2371,?,,,,,,,,,,,,
2382-2396,2390,60Ga. 60Cu? Shows up in 1003 coincidence.,,,,"1972Va19, relative height of this peak to 2402 is very similar, but previous measurement shos it to be much smaller",,,,,,,,
2395-2407,2402,60Cu?,2403.3,0.6,yes,1972Va19,,,,,,,,
2407-2424,2415,?,,,,,,,,,,,,
2424-2440,2433,60Ga?,,,,2021Or01,,,,"1004, 1413",,,,
2440-2460,2447,?,,,,"There is a nearby 58Cu peak (2445.6 keV, 1972Jo01), but this peak should be much smaller",,,,,,,,
2473-2494,2484,?,,,,,,,,,,,,
2496-2545,2507,"60Ga? 59Cu? ",,,,"Oshea2025 has peak at 2507, coincidence w/ 1003. But coincidences suggest is from 59Cu.",,,,,,,,
,2517,?,,,,maybe noise?,,,,,,,,
,2525,?,,,,,,,,,,,,
,2531,?,,,,,,,,,,,,
2545-2580,2557,60Ga?,2559.0,0.8,yes,previous energy measured as 2559.0±0.8,,,,,,,,
2580-2660,2614,208Tl?,,,,,,,,,,,,
,2623,60Ga?,,,,2021Or01,,,,,,,,
,2633,60Ga?,,,,Oshea2025 at 2631,,,,,,,,
,2638,?,,,,weird shape,,,,,,,,
2660-2720,2675,60Cu,2675.3,0.8,yes,1972Va19,,,,,,,,
,2681,?,,,,,,,,,,,,
,2687,60Cu,2687.9,0.3,yes,1972Va19,,,,,,,,
,2693,,,,,added because of poor fit to other peaks,,,,,,,,
2720-2790,2745,60Cu,2746.1,0.3,yes,1972Va19,,,,,,,,
,2755,?,,,,,,,,,,,,
,2759,?,,,,shoulder on 2755 peak,,,,,,,,
,2769,?,,,,,,,,,,,,
2800-2840,2825,60Ga (double escape peak),,,,"2021Or01, 68-73 ms. I think this is the double escape peak from 3847. This is supported by coincidence with 1022 peak.",,,,1004,,,,
2853-2897,2865,?,,,,,,,,,,,,
,2882,60Ga,,,,2021Or01,,,,,,,,
2895-2913,2902,58Cu,2902.5,0.5,yes,1972Jo01,,,,,,,,
2913-2953,2926,?,,,,odd peak shape,,,,,,,,
2953-3012,2977,?,,,,,,,,,,,,
,2986,60Cu,2986.3,0.5,yes,1972Va19,,,,,,,,
,2996,60Ga,,,,2021Or01,,,,,,,,
3020-3058,3037,58Cu?,3038.5,0.8,yes,,,,,,,,,
3068-3098,3084,58Cu?,3083.7,0.6,yes,intensity relative to 3037 seems wrong,,,,,,,,
3100-3132,3113,?,,,,,,,,,,,,
,3124,60Cu,3124.1,0.3,yes,1972Va19,,,,,,,,
3131-3143,3136,?,,,,,,,,,,,,
3143-3179,3149,?,,,,,,,,,,,,
,3160,60Cu,,,,1972Va19,,,,,,,,
,3168,?,,,,,,,,,,,,
3179-3211,3194,60Cu,3194.1,0.3,yes,1972Va19,,,,,,,,
3246-3291,3264,58Cu,3264.5,0.2,yes,1972Jo01,,,,,,,,
,3269,60Cu,3269.4,0.3,yes,1972Va19,,,,,,,,
3310-3357,3335,60Ga (single 511 escape peak),,,,"2021Or01, coincidence w/ 1003. Escape peak from 3847.",,,1004,,,,,
3357-3415,3377,?,,,,,,,,,,,,
